ecurr = -4.9, pn_right = -5.933214467e+12, pn_left = 1.092826281e+12, f = 1.451544892
ecurr = -4.89, pn_right = -5.636536929e+12, pn_left = 9.881228167e+11, f = 1.425144057
ecurr = -4.88, pn_right = -5.353805391e+12, pn_left = 8.898763617e+11, f = 1.398696465
ecurr = -4.87, pn_right = -5.084397576e+12, pn_left = 7.977523613e+11, f = 1.372203586
ecurr = -4.86, pn_right = -4.827717712e+12, pn_left = 7.114318651e+11, f = 1.345666891
ecurr = -4.85, pn_right = -4.583195453e+12, pn_left = 6.306108535e+11, f = 1.319087846
ecurr = -4.84, pn_right = -4.350284842e+12, pn_left = 5.549995908e+11, f = 1.29246792
ecurr = -4.83, pn_right = -4.128463306e+12, pn_left = 4.843220061e+11, f = 1.265808577
ecurr = -4.82, pn_right = -3.917230705e+12, pn_left = 4.18315098e+11, f = 1.239111282
ecurr = -4.81, pn_right = -3.716108403e+12, pn_left = 3.567283641e+11, f = 1.212377498
ecurr = -4.8, pn_right = -3.524638386e+12, pn_left = 2.99323254e+11, f = 1.185608687
ecurr = -4.79, pn_right = -3.342382414e+12, pn_left = 2.458726442e+11, f = 1.158806309
ecurr = -4.78, pn_right = -3.168921198e+12, pn_left = 1.961603348e+11, f = 1.131971823
ecurr = -4.77, pn_right = -3.003853624e+12, pn_left = 1.499805672e+11, f = 1.105106684
ecurr = -4.76, pn_right = -2.846795992e+12, pn_left = 1.071375612e+11, f = 1.078212349
ecurr = -4.75, pn_right = -2.697381298e+12, pn_left = 6.744507145e+10, f = 1.051290271
ecurr = -4.74, pn_right = -2.555258537e+12, pn_left = 3.072596231e+10, f = 1.024341902
ecurr = -4.73, pn_right = -2.420092037e+12, pn_left = -3188199570, f = 0.997368691
ecurr = -4.72, pn_right = -2.29156082e+12, pn_left = -3.445753581e+10, f = 0.9703720861
ecurr = -4.71, pn_right = -2.169357985e+12, pn_left = -6.323423047e+10, f = 0.9433535331
ecurr = -4.7, pn_right = -2.053190121e+12, pn_left = -8.966288855e+10, f = 0.9163144759
ecurr = -4.69, pn_right = -1.942776738e+12, pn_left = -1.138808794e+11, f = 0.8892563561
ecurr = -4.68, pn_right = -1.837849727e+12, pn_left = -1.360186658e+11, f = 0.8621806131
ecurr = -4.67, pn_right = -1.738152833e+12, pn_left = -1.56200119e+11, f = 0.8350886842
ecurr = -4.66, pn_right = -1.643441162e+12, pn_left = -1.745428204e+11, f = 0.8079820042
ecurr = -4.65, pn_right = -1.553480694e+12, pn_left = -1.911583504e+11, f = 0.7808620057
ecurr = -4.64, pn_right = -1.468047825e+12, pn_left = -2.061525654e+11, f = 0.753730119
ecurr = -4.63, pn_right = -1.386928925e+12, pn_left = -2.196258623e+11, f = 0.7265877716
ecurr = -4.62, pn_right = -1.309919916e+12, pn_left = -2.316734319e+11, f = 0.6994363887
ecurr = -4.61, pn_right = -1.236825859e+12, pn_left = -2.423855018e+11, f = 0.6722773928
ecurr = -4.6, pn_right = -1.167460568e+12, pn_left = -2.518475683e+11, f = 0.6451122039
ecurr = -4.59, pn_right = -1.101646238e+12, pn_left = -2.601406187e+11, f = 0.6179422391
ecurr = -4.58, pn_right = -1.03921308e+12, pn_left = -2.673413435e+11, f = 0.5907689129
ecurr = -4.57, pn_right = -9.799989794e+11, pn_left = -2.735223401e+11, f = 0.5635936368
ecurr = -4.56, pn_right = -9.238491679e+11, pn_left = -2.787523068e+11, f = 0.5364178198
ecurr = -4.55, pn_right = -8.706159037e+11, pn_left = -2.83096229e+11, f = 0.5092428675
ecurr = -4.54, pn_right = -8.201581693e+11, pn_left = -2.866155568e+11, f = 0.4820701828
ecurr = -4.53, pn_right = -7.723413804e+11, pn_left = -2.893683751e+11, f = 0.4549011655
ecurr = -4.52, pn_right = -7.270371067e+11, pn_left = -2.91409566e+11, f = 0.4277372124
ecurr = -4.51, pn_right = -6.841228047e+11, pn_left = -2.927909638e+11, f = 0.4005797169
ecurr = -4.5, pn_right = -6.434815608e+11, pn_left = -2.93561504e+11, f = 0.3734300695
ecurr = -4.49, pn_right = -6.050018463e+11, pn_left = -2.937673644e+11, f = 0.3462896573
ecurr = -4.48, pn_right = -5.685772815e+11, pn_left = -2.93452101e+11, f = 0.319159864
ecurr = -4.47, pn_right = -5.341064099e+11, pn_left = -2.926567772e+11, f = 0.2920420701
ecurr = -4.46, pn_right = -5.014924826e+11, pn_left = -2.914200874e+11, f = 0.2649376527
ecurr = -4.45, pn_right = -4.706432506e+11, pn_left = -2.897784751e+11, f = 0.2378479854
ecurr = -4.44, pn_right = -4.414707665e+11, pn_left = -2.877662451e+11, f = 0.2107744381
ecurr = -4.43, pn_right = -4.138911945e+11, pn_left = -2.854156718e+11, f = 0.1837183774
ecurr = -4.42, pn_right = -3.878246284e+11, pn_left = -2.82757101e+11, f = 0.1566811662
ecurr = -4.41, pn_right = -3.631949165e+11, pn_left = -2.798190485e+11, f = 0.1296641637
ecurr = -4.4, pn_right = -3.399294956e+11, pn_left = -2.766282933e+11, f = 0.1026687253
ecurr = -4.39, pn_right = -3.179592301e+11, pn_left = -2.732099666e+11, f = 0.0756962029
ecurr = -4.38, pn_right = -2.972182594e+11, pn_left = -2.695876372e+11, f = 0.04874794431
ecurr = -4.37, pn_right = -2.776438512e+11, pn_left = -2.65783392e+11, f = 0.0218252936
ecurr = -4.36, pn_right = -2.591762605e+11, pn_left = -2.618179141e+11, f = -0.005070409089
ecurr = -4.35, pn_right = -2.417585962e+11, pn_left = -2.577105559e+11, f = -0.03193782757
ecurr = -4.355, pn_right = -2.503396354e+11, pn_left = -2.597808106e+11, f = -0.01850773721
ecurr = -4.36, pn_right = -2.591762605e+11, pn_left = -2.618179141e+11, f = -0.005070409089
ecurr = -4.365, pn_right = -2.682753247e+11, pn_left = -2.638195673e+11, f = 0.008373990146
ecurr = -4.3625, pn_right = -2.636925528e+11, pn_left = -2.628233188e+11, f = 0.001650917065
ecurr = -4.36, pn_right = -2.591762605e+11, pn_left = -2.618179141e+11, f = -0.005070409089
ecurr = -4.36125, pn_right = -2.614261515e+11, pn_left = -2.623217424e+11, f = -0.001709965682
ecurr = -4.3625, pn_right = -2.636925528e+11, pn_left = -2.628233188e+11, f = 0.001650917065
ecurr = -4.36375, pn_right = -2.659755739e+11, pn_left = -2.633226062e+11, f = 0.005012236543
ecurr = -4.363125, pn_right = -2.64831979e+11, pn_left = -2.630732509e+11, f = 0.003331522376
ecurr = -4.3625, pn_right = -2.636925528e+11, pn_left = -2.628233188e+11, f = 0.001650917065
ecurr = -4.361875, pn_right = -2.625572816e+11, pn_left = -2.625728144e+11, f = -2.957906313e-05
ecurr = -4.36125, pn_right = -2.614261515e+11, pn_left = -2.623217424e+11, f = -0.001709965682
ecurr = -4.3615625, pn_right = -2.619911997e+11, pn_left = -2.624473491e+11, f = -0.0008697860815
