ecurr = -0.09875, pn_right = 0.02584997696, pn_left = 0.01329367965, f = 0.3207747667
ecurr = -0.1, pn_right = 0.02678676458, pn_left = 0.013933376, f = 0.3156518714
ecurr = -0.10125, pn_right = 0.02775132245, pn_left = 0.01459941725, f = 0.3105472371
ecurr = -0.1025, pn_right = 0.02874433131, pn_left = 0.01529274341, f = 0.3054605235
ecurr = -0.10375, pn_right = 0.02976648591, pn_left = 0.0160143242, f = 0.3003914014
ecurr = -0.105, pn_right = 0.03081849525, pn_left = 0.01676515988, f = 0.2953395516
ecurr = -0.10625, pn_right = 0.03190108282, pn_left = 0.01754628213, f = 0.2903046645
ecurr = -0.1075, pn_right = 0.03301498689, pn_left = 0.01835875495, f = 0.2852864403
ecurr = -0.10875, pn_right = 0.03416096073, pn_left = 0.01920367563, f = 0.2802845877
ecurr = -0.11, pn_right = 0.03533977288, pn_left = 0.02008217562, f = 0.2752988243
ecurr = -0.11125, pn_right = 0.03655220745, pn_left = 0.02099542158, f = 0.2703288758
ecurr = -0.1125, pn_right = 0.03779906431, pn_left = 0.02194461636, f = 0.265374476
ecurr = -0.11375, pn_right = 0.03908115946, pn_left = 0.02293100001, f = 0.260435366
ecurr = -0.115, pn_right = 0.04039932522, pn_left = 0.02395585087, f = 0.2555112944
ecurr = -0.11625, pn_right = 0.04175441058, pn_left = 0.02502048666, f = 0.2506020168
ecurr = -0.1175, pn_right = 0.04314728143, pn_left = 0.02612626555, f = 0.2457072956
ecurr = -0.11875, pn_right = 0.0445788209, pn_left = 0.02727458737, f = 0.2408268995
ecurr = -0.12, pn_right = 0.04604992961, pn_left = 0.02846689475, f = 0.2359606036
ecurr = -0.12125, pn_right = 0.04756152598, pn_left = 0.02970467436, f = 0.2311081889
ecurr = -0.1225, pn_right = 0.04911454657, pn_left = 0.0309894581, f = 0.2262694424
ecurr = -0.12375, pn_right = 0.05070994634, pn_left = 0.03232282445, f = 0.2214441565
ecurr = -0.125, pn_right = 0.05234869896, pn_left = 0.03370639972, f = 0.216632129
ecurr = -0.12625, pn_right = 0.05403179718, pn_left = 0.03514185945, f = 0.2118331629
ecurr = -0.1275, pn_right = 0.0557602531, pn_left = 0.03663092975, f = 0.2070470662
ecurr = -0.12875, pn_right = 0.0575350985, pn_left = 0.03817538873, f = 0.2022736518
ecurr = -0.13, pn_right = 0.05935738519, pn_left = 0.03977706799, f = 0.1975127373
ecurr = -0.13125, pn_right = 0.06122818536, pn_left = 0.04143785409, f = 0.1927641446
ecurr = -0.1325, pn_right = 0.06314859187, pn_left = 0.04315969011, f = 0.1880277001
ecurr = -0.13375, pn_right = 0.06511971863, pn_left = 0.04494457721, f = 0.1833032343
ecurr = -0.135, pn_right = 0.06714270094, pn_left = 0.04679457628, f = 0.1785905821
ecurr = -0.13625, pn_right = 0.06921869587, pn_left = 0.04871180959, f = 0.1738895818
ecurr = -0.1375, pn_right = 0.07134888256, pn_left = 0.0506984625, f = 0.169200076
ecurr = -0.13875, pn_right = 0.07353446266, pn_left = 0.05275678525, f = 0.1645219107
ecurr = -0.14, pn_right = 0.07577666065, pn_left = 0.05488909476, f = 0.1598549355
ecurr = -0.14125, pn_right = 0.07807672424, pn_left = 0.05709777644, f = 0.1551990035
ecurr = -0.1425, pn_right = 0.08043592473, pn_left = 0.05938528618, f = 0.1505539711
ecurr = -0.14375, pn_right = 0.08285555742, pn_left = 0.06175415225, f = 0.1459196981
ecurr = -0.145, pn_right = 0.085336942, pn_left = 0.06420697733, f = 0.1412960471
ecurr = -0.14625, pn_right = 0.08788142293, pn_left = 0.06674644057, f = 0.1366828842
ecurr = -0.1475, pn_right = 0.09049036985, pn_left = 0.06937529973, f = 0.1320800781
ecurr = -0.14875, pn_right = 0.09316517803, pn_left = 0.07209639338, f = 0.1274875004
ecurr = -0.15, pn_right = 0.09590726872, pn_left = 0.07491264307, f = 0.1229050257
ecurr = -0.15125, pn_right = 0.0987180896, pn_left = 0.07782705572, f = 0.118332531
ecurr = -0.1525, pn_right = 0.1015991152, pn_left = 0.08084272593, f = 0.1137698961
ecurr = -0.15375, pn_right = 0.1045518475, pn_left = 0.0839628384, f = 0.1092170034
ecurr = -0.155, pn_right = 0.1075778159, pn_left = 0.0871906705, f = 0.1046737376
ecurr = -0.15625, pn_right = 0.1106785783, pn_left = 0.09052959473, f = 0.1001399858
ecurr = -0.1575, pn_right = 0.1138557211, pn_left = 0.09398308145, f = 0.09561563769
ecurr = -0.15875, pn_right = 0.1171108597, pn_left = 0.09755470152, f = 0.0911005849
ecurr = -0.16, pn_right = 0.1204456392, pn_left = 0.1012481291, f = 0.08659472144
ecurr = -0.16125, pn_right = 0.1238617347, pn_left = 0.1050671446, f = 0.0820979434
ecurr = -0.1625, pn_right = 0.1273608518, pn_left = 0.1090156373, f = 0.077610149
ecurr = -0.16375, pn_right = 0.1309447271, pn_left = 0.1130976088, f = 0.07313123845
ecurr = -0.165, pn_right = 0.1346151286, pn_left = 0.1173171759, f = 0.06866111393
ecurr = -0.16625, pn_right = 0.1383738563, pn_left = 0.1216785737, f = 0.06419967957
ecurr = -0.1675, pn_right = 0.1422227429, pn_left = 0.1261861589, f = 0.05974684133
ecurr = -0.16875, pn_right = 0.1461636539, pn_left = 0.1308444133, f = 0.055302507
ecurr = -0.17, pn_right = 0.1501984884, pn_left = 0.1356579474, f = 0.05086658617
ecurr = -0.17125, pn_right = 0.1543291794, pn_left = 0.1406315032, f = 0.04643899011
ecurr = -0.1725, pn_right = 0.1585576947, pn_left = 0.1457699588, f = 0.0420196318
ecurr = -0.17375, pn_right = 0.1628860372, pn_left = 0.1510783315, f = 0.03760842585
ecurr = -0.175, pn_right = 0.1673162453, pn_left = 0.156561782, f = 0.03320528845
ecurr = -0.17625, pn_right = 0.1718503938, pn_left = 0.162225618, f = 0.02881013737
ecurr = -0.1775, pn_right = 0.1764905942, pn_left = 0.1680752987, f = 0.02442289188
ecurr = -0.17875, pn_right = 0.1812389955, pn_left = 0.1741164386, f = 0.02004347274
ecurr = -0.18, pn_right = 0.1860977846, pn_left = 0.180354812, f = 0.01567180215
ecurr = -0.18125, pn_right = 0.1910691867, pn_left = 0.1867963573, f = 0.0113078037
ecurr = -0.1825, pn_right = 0.1961554666, pn_left = 0.1934471819, f = 0.006951402375
ecurr = -0.18375, pn_right = 0.2013589285, pn_left = 0.200313566, f = 0.002602524489
ecurr = -0.185, pn_right = 0.206681917, pn_left = 0.2074019685, f = -0.001738902334
ecurr = -0.18625, pn_right = 0.2121268178, pn_left = 0.214719031, f = -0.006072949196
ecurr = -0.185625, pn_right = 0.2093889777, pn_left = 0.2110314948, f = -0.003906843865
ecurr = -0.185, pn_right = 0.206681917, pn_left = 0.2074019685, f = -0.001738902334
ecurr = -0.184375, pn_right = 0.2040053338, pn_left = 0.2038296042, f = 0.0004308841684
ecurr = -0.18375, pn_right = 0.2013589285, pn_left = 0.200313566, f = 0.002602524489
ecurr = -0.1840625, pn_right = 0.2026783775, pn_left = 0.2020645961, f = 0.001516472045
ecurr = -0.184375, pn_right = 0.2040053338, pn_left = 0.2038296042, f = 0.0004308841684
ecurr = -0.1846875, pn_right = 0.2053398345, pn_left = 0.2056086936, f = -0.0006542402552
ecurr = -0.18453125, pn_right = 0.2046716388, pn_left = 0.2047173822, f = -0.0001117359057
ecurr = -0.184375, pn_right = 0.2040053338, pn_left = 0.2038296042, f = 0.0004308841684
