ecurr = -0.1844970703, pn_right = 0.2045257232, pn_left = 0.2045228793, f = 6.952342135e-06
ecurr = -0.184498291, pn_right = 0.2045309329, pn_left = 0.2045298229, f = 2.713380768e-06
ecurr = -0.1844995117, pn_right = 0.2045361427, pn_left = 0.2045367668, f = -1.525573532e-06
ecurr = -0.1845007324, pn_right = 0.2045413527, pn_left = 0.2045437108, f = -5.764520764e-06
ecurr = -0.1845001221, pn_right = 0.2045387477, pn_left = 0.2045402388, f = -3.645048033e-06
ecurr = -0.1844995117, pn_right = 0.2045361427, pn_left = 0.2045367668, f = -1.525573532e-06
ecurr = -0.1844989014, pn_right = 0.2045335378, pn_left = 0.2045332948, f = 5.939027345e-07
it = 124, e = -0.184498901, de = 6.10351563e-07, f = -1.52557353e-06
Normalizing...
norm = 0.0234417183
<T> = 7.32215029
