ecurr = -14.0875, pn_right = 1.989749655e+25, pn_left = 1.849770071e+25, f = 0.03645757652
ecurr = -14.08875, pn_right = 1.995614262e+25, pn_left = 1.924275579e+25, f = 0.01819915523
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422309e-05
ecurr = -14.09125, pn_right = 2.007388455e+25, pn_left = 2.08252151e+25, f = -0.01837034454
ecurr = -14.090625, pn_right = 2.004439276e+25, pn_left = 2.041750822e+25, f = -0.009221402235
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422312e-05
ecurr = -14.089375, pn_right = 1.998552183e+25, pn_left = 1.962650404e+25, f = 0.00906335357
ecurr = -14.0896875, pn_right = 2.000022549e+25, pn_left = 1.982127533e+25, f = 0.004493807571
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422312e-05
ecurr = -14.0903125, pn_right = 2.002966095e+25, pn_left = 2.021674925e+25, f = -0.004648571072
ecurr = -14.09015625, pn_right = 2.002229857e+25, pn_left = 2.011713061e+25, f = -0.002362565812
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422312e-05
ecurr = -14.08984375, pn_right = 2.000758084e+25, pn_left = 1.991939717e+25, f = 0.002208623602
ecurr = -14.08992188, pn_right = 2.001125939e+25, pn_left = 1.996864366e+25, f = 0.001065928916
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422312e-05
ecurr = -14.09007813, pn_right = 2.001861826e+25, pn_left = 2.006750994e+25, f = -0.001219665803
ecurr = -14.09003906, pn_right = 2.001677832e+25, pn_left = 2.004274657e+25, f = -0.0006482414586
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422309e-05
ecurr = -14.08996094, pn_right = 2.001309889e+25, pn_left = 1.999331348e+25, f = 0.0004945559022
ecurr = -14.08998047, pn_right = 2.001401869e+25, pn_left = 2.000566006e+25, f = 0.0002088629784
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422309e-05
ecurr = -14.09001953, pn_right = 2.001585841e+25, pn_left = 2.00303766e+25, f = -0.0003625357022
ecurr = -14.09000977, pn_right = 2.001539846e+25, pn_left = 2.002419454e+25, f = -0.000219684428
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422309e-05
ecurr = -14.08999023, pn_right = 2.001447861e+25, pn_left = 2.001183627e+25, f = 6.601491235e-05
ecurr = -14.08998047, pn_right = 2.001401869e+25, pn_left = 2.000566006e+25, f = 0.0002088629784
ecurr = -14.08998535, pn_right = 2.001424865e+25, pn_left = 2.000874792e+25, f = 0.0001374390791
ecurr = -14.08999023, pn_right = 2.001447861e+25, pn_left = 2.001183627e+25, f = 6.601491239e-05
ecurr = -14.08999512, pn_right = 2.001470857e+25, pn_left = 2.001492511e+25, f = -5.409521659e-06
ecurr = -14.09, pn_right = 2.001493853e+25, pn_left = 2.001801443e+25, f = -7.683422304e-05
ecurr = -14.08999756, pn_right = 2.001482355e+25, pn_left = 2.001646971e+25, f = -4.112183891e-05
ecurr = -14.08999512, pn_right = 2.001470857e+25, pn_left = 2.001492511e+25, f = -5.409521625e-06
ecurr = -14.08999268, pn_right = 2.001459359e+25, pn_left = 2.001338063e+25, f = 3.030272883e-05
ecurr = -14.0899939, pn_right = 2.001465108e+25, pn_left = 2.001415285e+25, f = 1.244661198e-05
ecurr = -14.08999512, pn_right = 2.001470857e+25, pn_left = 2.001492511e+25, f = -5.40952161e-06
ecurr = -14.08999634, pn_right = 2.001476606e+25, pn_left = 2.001569739e+25, f = -2.326567188e-05
ecurr = -14.08999573, pn_right = 2.001473731e+25, pn_left = 2.001531125e+25, f = -1.433759464e-05
ecurr = -14.08999512, pn_right = 2.001470857e+25, pn_left = 2.001492511e+25, f = -5.409521572e-06
ecurr = -14.08999451, pn_right = 2.001467982e+25, pn_left = 2.001453898e+25, f = 3.518547309e-06
ecurr = -14.0899939, pn_right = 2.001465108e+25, pn_left = 2.001415285e+25, f = 1.244661201e-05
ecurr = -14.0899942, pn_right = 2.001466545e+25, pn_left = 2.001434591e+25, f = 7.98258019e-06
ecurr = -14.08999451, pn_right = 2.001467982e+25, pn_left = 2.001453898e+25, f = 3.518547309e-06
ecurr = -14.08999481, pn_right = 2.001469419e+25, pn_left = 2.001473204e+25, f = -9.454866132e-07
it = 140, e = -14.0899948, de = -3.05175781e-07, f = 3.51854731e-06
Normalizing...
norm = 9.38525426e+50
<T> = 1.71261496
